Title,Currency,amountAwarded,awardDate,Organisation,fundingOrg,fundingDept,grantProgramme
Grant to Friends of Goose Green School,GBP,11794,2018-01-18,Friends of Goose Green School,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Friends of Holbeach,GBP,15500,2018-01-18,Friends of Holbeach,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Friends of Luxmore Gardens,GBP,20000,2018-01-18,Friends of Luxmore Gardens,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Friends of Meath Gardens,GBP,14000,2018-01-18,Friends of Meath Gardens,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Hammersmith Community Gardens Association,GBP,13000,2018-01-18,Hammersmith Community Gardens Association,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Highgate Primary School,GBP,9000,2018-01-18,Highgate Primary School,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Hither Green Community Association,GBP,5000,2018-01-18,Hither Green Community Associaiton,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to LB Barking and Dagenham,GBP,14000,2018-01-18,LB Barking and Dagenham,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Lower Regents Coalition,GBP,5000,2018-01-18,Lower Regents Coalition,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Mind in Enfield,GBP,5395,2018-01-18,Mind in Enfield,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Our Yard,GBP,18500,2018-01-18,Our Yard,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Poplar Housing & Regeneration Community Association,GBP,18200,2018-01-18,Poplar Housing & Regeneration Community Association,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to LB Greenwich,GBP,5000,2018-01-18,LB Greenwich,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Rutherford House School,GBP,10000,2018-01-18,Rutherford House School,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to St Peter's Eaton Square C of E Primary,GBP,10000,2018-01-18,St Peter's Eaton Square C of E Primary,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Sydenham Garden,GBP,5815.85,2018-01-18,Sydenham Garden,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Thames Chase Trust,GBP,8000,2018-01-18,Thames Chase Trust,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Thames21,GBP,12000,2018-01-18,Thames21,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to The Conservation Volunteers,GBP,14350,2018-01-18,The Conservation Volunteers,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to LB Kensington and Chelsea,GBP,10000,2018-01-18,LB Kensington and Chelsea,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Trees for Cities,GBP,15000,2018-01-18,Trees for Cities,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Whittington Park Community Centre,GBP,7637,2018-01-18,Whittington Park Community Centre,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Wood Street Walls,GBP,5000,2018-01-18,Wood Street Walls,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to LB Sutton,GBP,50000,2018-01-18,LB Sutton,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to East Sheen Primary School,GBP,30000,2018-01-18,East Sheen Primary School,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Peabody,GBP,50000,2018-01-18,Peabody,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Better Bankside,GBP,48000,2018-01-18,Better Bankside,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to London Wildlife Trust,GBP,50000,2018-01-18,London Wildlife Trust,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to LB Southwark,GBP,50000,2018-01-18,LB Southwark,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to London Wildlife Trust,GBP,35000,2018-01-18,London Wildlife Trust,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Create London,GBP,35000,2018-01-18,Create London,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Thames21,GBP,45000,2018-01-18,Thames21,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to LB Enfield,GBP,50000,2018-01-18,LB Enfield,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to LB Waltham Forest,GBP,31400,2018-01-18,LB Waltham Forest,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Repowering London,GBP,37000,2018-01-18,Repowering London,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Core Arts,GBP,40000,2018-01-18,Core Arts,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Affinity Sutton Community Foundation,GBP,48000,2018-01-18,Affinity Sutton Community Foundation,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Westway Trust,GBP,27000,2018-01-18,Westway Trust,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Crofton Park & Honor Oak Park Neighbourhood Forum,GBP,30000,2018-01-18,Crofton Park & Honor Oak Park Neighbourhood Forum,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to LB Enfield,GBP,25000,2018-01-18,LB Enfield,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to St Paul's C of E Primary School,GBP,16500,2018-01-18,St Paul's C of E Primary School,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to The Orchard Project,GBP,20000,2018-01-18,The Orchard Project,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Koininia Foundation,GBP,13000,2018-01-18,Koininia Federation,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Roman Road Trust,GBP,18500,2018-01-18,Roman Road Trust,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Chinese New Year 2019,GBP,50000,2019-01-15,London Chinatown Chinese Association,Greater London Authority,External Affairs,Events for London Programme 2018/19
Mayor’s School Air Quality Audit Programme,GBP,10000,2019-02-03,St Mary's RC Primary School,Greater London Authority,"Development, Enterprise & Environment",Mayor’s primary schools and nurseries air quality audit programmes (2018/19)
Air Quality Programme - King's College London,GBP,112490,2019-02-15,King's College London,Greater London Authority,"Development, Enterprise & Environment",C40 air quality hyper-local sensor programme
Digital Talent Programme,GBP,400000,2019-01-31,Capital Enterprise (UK) Limited,Greater London Authority,"Development, Enterprise & Environment",Digital Talent programme
Digital Talent Programme,GBP,240000,2019-01-24,A New Direction London Limited,Greater London Authority,"Development, Enterprise & Environment",Digital Talent programme
Team London Small Grants Programme - Abbey Community Centre,GBP,5430,2018-11-01,Abbey Community Centre,Greater London Authority,Communities and Intelligence,Team London small grants
Team London Small Grants Programme - Autus,GBP,10000,2018-11-01,Autus,Greater London Authority,Communities and Intelligence,Team London small grants
Team London Small Grants Programme - Doorstep Library Network,GBP,9750,2018-11-01,Doorstep Library Network,Greater London Authority,Communities and Intelligence,Team London small grants
Team London Small Grants Programme - Faiths Forum for London,GBP,10000,2018-11-01,Faiths Forum for London,Greater London Authority,Communities and Intelligence,Team London small grants
Team London Small Grants Programme - Hoxton Health,GBP,9276,2018-11-01,Hoxton Health,Greater London Authority,Communities and Intelligence,Team London small grants
Team London Small Grants Programme - Lewisham Refugee Welcome Team,GBP,5000,2018-11-01,Lewisham Refugee Welcome Team,Greater London Authority,Communities and Intelligence,Team London small grants
Team London Small Grants Programme - Seeds for Growth,GBP,10000,2018-11-01,Seeds for Growth,Greater London Authority,Communities and Intelligence,Team London small grants
Grant to Company Drinks,GBP,14500,2018-01-31,Company Drinks,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Hampden Way Nursery School,GBP,15450,2018-01-31,Hampden Way Nursery School,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to The Harington Scheme,GBP,17660,2018-01-31,The Harington Scheme,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Froglife,GBP,49649,2018-01-31,Froglife,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Salusbury Primary School,GBP,10000,2018-01-31,Salusbury Primary School,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Global Generation,GBP,35000,2018-01-31,Global Generation,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to LB Camden,GBP,13500,2018-01-31,LB Camden,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Neu Architects Ltd,GBP,5000,2018-01-31,Neu Architects Ltd,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Redington Frognal Association,GBP,20000,2018-01-31,Redington Frognal Neighbourhood Forum and Redington Frognal Association,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to The Orchard Project,GBP,13550,2018-01-31,The Orchard Project,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to Friends of Wormholt Park,GBP,5000,2018-01-31,Friends of Wormholt Park,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
Grant to the Zoological Society of London,GBP,18370,2018-01-31,Zoological Society of London,Greater London Authority,"Development, Enterprise & Environment",Greener City Fund: Community Green Space Grants
