Title,Currency,amountAwarded,awardDate,Organisation,fundingOrg,fundingDept,grantProgramme
Grant to Full Fitness Foundation Ltd,GBP,1500,2015-02-02,Full Fitness Foundation Ltd,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Eton Manor Athletics Club,GBP,520,2015-02-02,Eton Manor Athletics Club,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Newlon Fusion,GBP,1160,2015-02-03,Newlon Fusion,Greater London Authority,Communities and Intelligence,FreeSport
Grant to London Thunder Basketball,GBP,1500,2015-02-03,London Thunder Basketball,Greater London Authority,Communities and Intelligence,FreeSport
Grant to LB Ealing,GBP,770000,2015-02-03,LB Ealing,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Bromley,GBP,160000,2015-02-03,LB Bromley,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Watford FC Community Sports & Education Trust,GBP,1367.5,2015-02-04,Watford FC Community Sports & Education Trust,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Queen's Crescent Community Association,GBP,1060,2015-02-04,Queen's Crescent Community Association,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Key Changes,GBP,1000,2015-02-04,Key Changes,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Whitehall Tennis Club,GBP,1500,2015-02-07,Whitehall Tennis Club,Greater London Authority,Communities and Intelligence,FreeSport
Grant to London Skolars RL,GBP,1500,2015-02-07,London Skolars RL,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Kaizen Academy for Sports Development,GBP,1500,2015-02-07,Kaizen Academy for Sports Development,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Old Actonians Association Sports Club,GBP,730,2015-02-08,Old Actonians Association Sports Club,Greater London Authority,Communities and Intelligence,FreeSport
Grant to London Academies Enterprise Trust,GBP,283813,2015-02-10,London Academies Enterprise Trust,Greater London Authority,Communities and Intelligence,NA
Grant to TackleAfrica,GBP,1500,2015-02-16,TackleAfrica,Greater London Authority,Communities and Intelligence,FreeSport
Grant to P.A.L.A.C.E,GBP,1320,2015-02-17,P.A.L.A.C.E,Greater London Authority,Communities and Intelligence,FreeSport
Grant to The Change Foundation,GBP,600,2015-02-18,The Change Foundation,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Surrey Canoe Club,GBP,1380,2015-02-20,Surrey Canoe Club,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Boston Gardens Softball,GBP,1460,2015-02-21,Boston Gardens Softball,Greater London Authority,Communities and Intelligence,FreeSport
Grant to The Golf Trust,GBP,1500,2015-02-22,The Golf Trust,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Bring the Change CIC,GBP,1500,2015-02-23,Bring The Change CIC,Greater London Authority,Communities and Intelligence,FreeSport
Grant to London South Bank University,GBP,1300,2015-02-24,London South Bank University,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Lewisham Wrestling Club,GBP,1200,2015-02-24,Lewisham Wrestling Club,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Sport Impact,GBP,1350,2015-02-25,Sport Impact,Greater London Authority,Communities and Intelligence,FreeSport
Grant to LB Lambeth,GBP,522918,2015-02-25,LB Lambeth,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to London Youth Rowing,GBP,1500,2015-02-26,London Youth Rowing,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Millwall for All Trust,GBP,1498,2015-02-27,Millwall for All Trust,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Maccabi GB,GBP,1500,2015-02-27,Maccabi GB,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Aim High Dance Academy,GBP,1456.96,2015-02-28,Aim High Dance Academy,Greater London Authority,Communities and Intelligence,FreeSport
Grant to 0-10 Community   (c/o Quietstorm Enterprise),GBP,1499.94,2015-03-01,0-10 Community   (c/o Quietstorm Enterprise),Greater London Authority,Communities and Intelligence,FreeSport
Grant to Dalmain Athletic GFC,GBP,1268,2015-03-02,Dalmain Athletic GFC,Greater London Authority,Communities and Intelligence,FreeSport
Grant to City of London - Epping Forest,GBP,1500,2015-03-02,City of London - Epping Forest,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Carl Campbell Dance Company 7,GBP,1500,2015-03-02,Carl Campbell Dance Company 7,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Stratford Village Surgery,GBP,18000,2015-03-04,Stratford Village Surgery,Greater London Authority,NA,NA
Grant to LB Tower Hamlets,GBP,47750,2015-03-04,LB Tower Hamlets,Greater London Authority,NA,NA
Grant to LB Hackney,GBP,2500,2015-03-04,LB Hackney,Greater London Authority,Communities and Intelligence,NA
Grant to Walworth Golden Oldies Community Crae Project,GBP,1467,2015-03-05,Walworth Golden Oldies Community Care Project,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Reed in Partnership Limited,GBP,398375,2015-03-09,Reed in Partnership Limited,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to North London Partnership Consortium Limited,GBP,398375,2015-03-09,North London Partnership Consortium Limited,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Forestry Commission,GBP,15000,2015-03-09,Forestry Commission,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Cuban Boxing Academy,GBP,1300,2015-03-10,Cuban Boxing Academy,Greater London Authority,Communities and Intelligence,FreeSport
Grant to Soloman Executive Limited,GBP,225001,2015-03-17,Soloman Executive Limited,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Public Relations Consultants Associations Ltd,GBP,111352,2015-03-18,Public Relations Consultants Associations Ltd,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Creative Process,GBP,400000,2015-03-19,Creative Process,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Westminster,GBP,400003,2015-03-23,LB Westminster,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Greenwich,GBP,6400,2015-03-23,LB Greenwich,Greater London Authority,NA,NA
Grant to Film London,GBP,1200000,2015-03-25,Film London,Greater London Authority,Communities and Intelligence,NA
Grant to London Sport Ltd,GBP,1350000,2015-03-26,London Sport Ltd,Greater London Authority,Communities and Intelligence,NA
Grant to LB Sutton,GBP,30000,2015-03-27,LB Sutton,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Islington,GBP,75000,2015-03-27,LB Islington,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to RollaDome All Skate,GBP,1500,2015-03-30,RollaDome All Skate,Greater London Authority,Communities and Intelligence,FreeSport
Grant to HR Sports Academy,GBP,1500,2015-03-30,HR Sports Academy,Greater London Authority,Communities and Intelligence,FreeSport
Grant to University of East London,GBP,12500,2015-03-31,University of East London,Greater London Authority,Communities and Intelligence,NA
Grant to LB Lewisham,GBP,2130,2015-03-31,LB Lewisham,Greater London Authority,NA,NA
Grant to Achievement for All Limited,GBP,350000,2015-03-31,Achievement for All Limited,Greater London Authority,Communities and Intelligence,NA
Grant to LB Newham,GBP,177534,2015-04-01,LB Newham,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Lambeth,GBP,869000,2015-04-01,LB Lambeth,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Havering,GBP,200000,2015-04-01,LB Havering,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to LB Richmond,GBP,18000,2015-04-03,LB Richmond,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Vi-ability,GBP,40000,2015-04-08,Vi-ability,Greater London Authority,Communities and Intelligence,NA
Grant to Cospa,GBP,10000,2015-04-08,Cospa,Greater London Authority,Communities and Intelligence,NA
Grant to City Gateway,GBP,45000,2015-04-08,City Gateway,Greater London Authority,Communities and Intelligence,NA
Grant to Business Education London South,GBP,15000,2015-04-08,Business Education London South,Greater London Authority,Communities and Intelligence,NA
Grant to LB Hackney,GBP,285000,2015-04-23,LB Hackney,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Waterloo Quarter Business Improvement District,GBP,20000,2015-04-30,Waterloo Quarter Business Improvement District,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Groundwork London,GBP,35000,2015-04-30,Groundwork London,Greater London Authority,"Development, Enterprise & Environment",NA
Grant to Do it trust,GBP,12786,2015-04-30,Do it trust,Greater London Authority,Communities and Intelligence,Speed Volunteering project
